open_date,open_base_id,open_base_market,open_base_side,open_base_price,open_base_size,open_base_amount,open_quote_id,open_quote_market,open_quote_side,open_quote_price,open_quote_size,open_quote_amount,open_z_score
2023-03-18T15:38:54.857065,7d7e16e466356dc7346b387a2969baa365a32157edeec9c94c75e44d3131ddb,ZRX-USD,BUY,0.243,1000,243,710a7fc51f299d985227764ec4720b28553f7901ba49f94842c0bd24b98ecf6,COMP-USD,SELL,47.3,5.27,-249.27,-1.615823678
2023-04-09T08:11:44.286804,192684b7d48b10b3e38fc376563e4c41edf2b0bf12497fbb528e8843a16390d,BCH-USD,SELL,123.3,2.02,-249.066,498d6ffc43e269a05d8e4a24ac6727d6641a46360de25db44e1d54fc9662779,XLM-USD,BUY,0.1038,2400,249.12,2.012733212
2023-04-09T08:12:36.687946,5a79208ae6bf17f02930c5b4941045478f38d0a2709ceddf8d20279cc825035,CELO-USD,SELL,0.677,300,-203.1,603d0e8c36767b25af192d653498a694f13f2fdca6b2e2a9aac192ec0e5dede,ZRX-USD,BUY,0.272,900,244.8,1.767605851
2023-04-09T08:14:10.329637,05b1ce7f610f6b3e0c069f5c08d09b8324543fc79612cb7fcd71d360fc96ac7,SUSHI-USD,BUY,1.079,200,215.8,1bb982e53fc5430624b34c932cf82b54e4f41f8ac1affd66c6ebec0cda2f797,ADA-USD,SELL,0.384,600,-230.4,-1.607409906
2023-04-09T14:08:46.361478,23063e24251e7ceff7cf0f5bed4781d078a9b65c0fe6045370b75a23c2eefa5,FIL-USD,BUY,5.71,43.9,250.669,6ea47f7850b3139aae7da2b4971da3b98eec099137578fdbefa2de46897b8d1,SUSHI-USD,SELL,1.088,200,-217.6,-1.566442916
2023-04-09T14:32:48.302249,1b393a63078a65f1ff446b90ac2a3a8dc816a40d28b562a30f1c900316f71f0,XTZ-USD,BUY,1.083,200,216.6,0172d929e1f4600ebaf2d8fee4b5783a14d8502199296a07f6981a7241ce6bb,COMP-USD,SELL,41.8,5.97,-249.546,-1.830053788
2023-04-09T14:39:01.468966,4a9f7c1b552b00250a8b74deb73161b0730ac2dad0baa0c7e35ea18fe31bc16,MATIC-USD,BUY,1.0919,200,218.38,4a5d139d29f1aa0a84cc978b0c48daa31a4795d2b2b4887914fd0b6a5b12cf7,1INCH-USD,SELL,0.522,400,-208.8,-2.079397405
2023-04-10T17:02:38.364414,3705bfaa3735ce56955459573ef4eaf7e205f9b838d10bd45bee9c42f7a52d0,NEAR-USD,BUY,2.022,124.0,250.72799999999998,033559e9ada172c0e3d0284a3bb1704e568c4766d1c929511734be96b097c02,UNI-USD,SELL,5.947,41.9,-249.17929999999998,-1.5538726091292858
2023-04-10T19:08:00.836607,692c3eb9da5cbeb339295d621e8c74fc8f518d11170648fdd45b09e611a14bb,YFI-USD,BUY,8656,0.0290,251.024,5db1be17635d22d05dfec57e36ff1f39131758975247c2db82082875514dada,1INCH-USD,SELL,0.539,400,-215.60000000000002,-1.543995998505564
2023-04-11T01:46:57.629565,765472933a8fed67a68184b56e51774f5550173b35bbd88aa906ccbfdd81b6b,COMP-USD,SELL,43.5,5.73,-249.25500000000002,27e2b4520610650ed03af48c44c3baa441b8dea072282014d6db6aa0b21c0d2,MATIC-USD,BUY,1.1195,200,223.89999999999998,1.5598842291176889
2023-04-11T03:47:38.493338,05b07b2ea7dd5375d008bc928f86a26bcc98f7a84a84f65a2abc27157ff2fef,CELO-USD,BUY,0.688,300,206.39999999999998,475643427c168838efae861c21f00753e21b429ce1de3d10eaf58898b32c9fa,ADA-USD,SELL,0.399,600,-239.4,-2.042485395345385
2023-04-11T06:59:35.199208,29ac9af24ca5495f32268344087b8119287ff2ca000f7974dcc056832046330,AVAX-USD,SELL,18.19,13.7,-249.203,358aed4d4e9f7fb61869b1d7e72a216d7b2802fa449890f58da20d558e265d3,ETH-USD,BUY,1928.1,0.130,250.653,1.5280636311021079
2023-04-11T07:33:19.782514,21416fa84b409959a3144348e3f21fe86f2f33bc9596c0fe8280066481bad85,UMA-USD,BUY,2.14,117.4,251.23600000000002,4c16774d508ca3a00a1511b0bf73acffff9b9a5fec9f5edd5ae08bf6e0d72e4,LTC-USD,SELL,96.6,2.58,-249.22799999999998,-1.559969093296391
2023-04-11T08:02:30.147921,41fa7c12fc2a21007a355798b00daa68be0670502cf754be497ee4df09b363e,NEAR-USD,SELL,2.092,119.2,-249.36640000000003,3272e0baed4c6da6d0b2a7363fd87582b61cce8a95d057d9fe00fa909ad7b6e,ALGO-USD,BUY,0.2235,1100,245.85,2.398450698166614
2023-04-11T08:08:03.627701,721bb1187babbb7de8d5c13e5c6186b62e54eafb41970b6bb582aedab06ef31,XTZ-USD,BUY,1.128,200,225.59999999999997,32b5f478388c3f9b3a48d278e5d6b31715d63aacc2c507b48a6f1c5b3c7a89c,SOL-USD,SELL,22.374,11.1,-248.35139999999998,-1.7591310661503399
2023-04-11T08:28:41.952668,7004b6823910c87ae5b27a7a164cb16fe6b0e74c9c9c7b0a75ff47b05205a71,SUSHI-USD,BUY,1.148,200.0,229.6,3a44189356f7034ac6aadc3e49e27c4520da2063785823e5316cfde490f61c6,CRV-USD,SELL,1.0358,240,-248.592,-1.6936180809962298
2023-04-11T15:01:41.313799,38af0fe50628ac8e8fa27719945a9ff5bd5356b9fbaa654e296c194db5bd9f2,YFI-USD,SELL,9110,0.0274,-249.614,206ea0087317393fac8c22b59f63674497a8aa72a3e4b27f15d191beeeb61c0,1INCH-USD,BUY,0.547,400,218.8,2.2135166781792814
2023-04-12T02:00:55.054019,5fe44da8afdd1e5652eb7af129de18c8ece799b5a563c0eecf8a71821e7b674,TRX-USD,BUY,0.0643,3900,250.76999999999998,784ee1f3e9752dd29ce2a658432086e9db64822c2327fae1ff462a376d7d0ef,EOS-USD,SELL,1.216,200,-243.2,-3.2984665718925767
2023-04-12T10:01:32.000982,6ebe401214eb8dabca0cd3a91cc88b6e5695217ea469c2d849049fef7b6cb06,COMP-USD,BUY,42.7,5.87,250.64900000000003,527e742fb11cc4c70458d2ecb3f597d0e15074cfb5db1579214e5d907310c9d,UMA-USD,SELL,2.08,119.6,-248.768,-1.9683228469561032
2023-04-12T13:01:13.539973,295a11336760c091c6eba555fc87b5866ffac3f8e3cb086f3070346abb5e2d1,EOS-USD,BUY,1.216,200,243.2,44c9080af31f4ba842860c439f1fd0374e428c46fe66af1d9d8ecedd42e3bb6,SUSHI-USD,SELL,1.120,200.0,-224.00000000000003,-2.6986253006520293
2023-04-12T13:02:49.419357,20d60bac96de5f3c78f38a3fa82055d7e4e2a63f51f3fc053d63fbdd3e04639,LTC-USD,BUY,92.8,2.70,250.56,53b30381d59dbfa9957a3e1fd2532df1a2cb72d9b1b08c2489f809f77627c38,UNI-USD,SELL,5.887,42.3,-249.02009999999996,-1.5530128349635925
